team,experience,salary,points3,points2,points1,points,off_rebounds,def_rebounds,assists,steals,blocks,turnovers,fouls,efficiency
ATL,NA,93.41,660,2337,1453,8107,832,2676,1846,645,381,1201,1432,NaN
BOS,NA,91.92,985,2183,1536,8857,744,2698,2069,617,340,1037,1686,Inf
BRK,NA,76.21000000000001,777,2040,1444,7855,689,2697,1664,568,382,1212,1620,Inf
CHI,NA,92.48,565,2162,1330,7349,865,2419,1746,605,339,956,1275,NaN
CHO,NA,88.5,808,2089,1497,8099,621,2615,1806,543,316,820,1177,Inf
CLE,NA,127.25,1030,2148,1384,8770,735,2673,1779,483,304,1020,1356,NaN
DAL,NA,92.83,712,1754,1007,6651,521,2063,1183,507,257,674,1229,NaN
DEN,NA,79.04,868,2351,1477,8783,872,2660,2015,543,286,1102,1475,Inf
DET,NA,103.07000000000001,631,2638,1140,8309,908,2838,1732,574,310,932,1467,NaN
GSW,NA,100.22,982,2545,1455,9491,770,2869,2486,782,554,1179,1581,Inf
HOU,NA,87.39,1140,2011,1623,9065,857,2608,1969,617,331,1113,1473,Inf
IND,NA,92.6,709,2512,1467,8618,742,2702,1844,669,409,1087,1597,Inf
LAC,NA,114.77000000000001,841,2401,1586,8911,738,2790,1848,612,347,1022,1626,Inf
LAL,NA,85.11,582,2069,1021,6905,789,2213,1334,510,267,972,1444,966.3589768760268
MEM,NA,108.94,757,2176,1489,8112,880,2582,1725,629,335,993,1798,Inf
MIA,NA,72.94,799,2349,1217,8312,856,2648,1728,579,464,1019,1647,Inf
MIL,NA,104.65,720,2462,1413,8497,723,2589,1984,666,436,1096,1660,NaN
MIN,NA,59.88,599,2607,1580,8591,932,2516,1924,641,368,1085,1620,Inf
NOP,NA,94.03,519,1956,1128,6597,580,2248,1531,502,380,828,1168,Inf
NYK,NA,97.1,636,2445,1262,8060,962,2592,1499,526,451,975,1584,Inf
OKC,NA,86.97,611,2380,1511,8104,936,2628,1610,595,395,1133,1561,Inf
ORL,NA,104.1,618,2178,1232,7442,707,2452,1760,546,305,987,1445,NaN
PHI,NA,56.300000000000004,718,1960,1225,7299,690,2354,1816,613,375,1197,1573,Inf
PHO,NA,73.27,569,2554,1615,8430,882,2464,1531,588,385,1171,1887,Inf
POR,NA,102.48,847,2148,1386,8223,706,2428,1508,522,342,978,1581,788.0094236784963
SAC,NA,88.28,562,1838,998,6360,525,1876,1402,506,232,850,1303,Inf
SAS,NA,105.39,753,2469,1440,8637,821,2777,1954,655,484,1057,1498,Inf
TOR,NA,108.45,626,2359,1570,8166,847,2535,1469,620,379,932,1609,Inf
UTA,NA,80.32000000000001,791,2242,1401,8258,771,2774,1651,550,410,1060,1545,Inf
WAS,NA,100.78,718,2526,1368,8574,806,2564,1893,655,325,1062,1643,NaN
